,scriptID,sceneID,header,text,upper,tokens
0,0,0,scene_heading,": EXT. LABYRINTH - NIGHT

","['EXT', 'LABYRINTH', 'NIGHT']",ext labyrinth night
1,0,0,text,": In the foreground, OFELIA - 11 years old, skin white as
snow, ruby lips and ebony hair - is sprawled on the ground.
A thick ribbon of blood runs from her nose.
But - the blood is flowing backward into her nostril. Drop
by drop, the blood leaps up and disappears.
Ofelia's pupils dilate-

","['OFELIA', 'A']",in the foreground ofelia 11 years old skin white as snow ruby lips and ebony hair is sprawled on the ground a thick ribbon of blood runs from her nose but the blood is flowing backward into her nostril drop by drop the blood leaps up and disappears ofelia s pupils dilate
2,0,0,speaker_heading,": NARRATOR

",['NARRATOR'],narrator
3,0,0,dialog,": Long ago in the Underground Realm...

",[],long ago in the underground realm
4,0,0,text,": CAMERA MOVES INTO THE DARK PUPIL-

","['CAMERA', 'MOVES', 'INTO', 'THE', 'DARK', 'PUPIL']",camera moves into the dark pupil
5,0,0,speaker_heading,": NARRATOR

",['NARRATOR'],narrator
6,0,0,dialog,": ...where there are no lies or pain, there
lived a Princess who dreamt of the human
world.

",[],where there are no lies or pain there lived a princess who dreamt of the human world
7,0,0,text,": The sound of muffled wind.

",[],the sound of muffled wind
8,0,0,speaker_heading,": NARRATOR

",['NARRATOR'],narrator
9,0,0,dialog,": She dreamt of blue skies, the soft breeze
and sunshine...

",[],she dreamt of blue skies the soft breeze and sunshine
10,0,0,text,": A dark CASTLE takes shape. Here, a tower... there, a
turret... and lighted windows.
Finally, the damp, mildewed walls of a water well come into
focus.

","['A', 'CASTLE']",a dark castle takes shape here a tower there a turret and lighted windows finally the damp mildewed walls of a water well come into focus
11,0,0,speaker_heading,": NARRATOR

",['NARRATOR'],narrator
12,0,0,dialog,": One day, eluding her keepers, the
Princess escaped.

",[],one day eluding her keepers the princess escaped
13,0,0,text,": A woman's silhouette crosses CAMERA-

","['A', 'CAMERA']",a woman s silhouette crosses camera
14,0,0,speaker_heading,": NARRATOR

",['NARRATOR'],narrator
15,0,0,dialog,": Once outside, the brightness blinded her
and erased her memory...

",[],once outside the brightness blinded her and erased her memory
16,0,0,text,": A circular staircase leads up... toward daylight, where the
image...

",['A'],a circular staircase leads up toward daylight where the image
17,0,0,speaker_heading,": NARRATOR

",['NARRATOR'],narrator
18,0,0,dialog,": She forgot who she was and where she came
from. Her body suffered cold, sickness
and pain. Eventually, she died.

",[],she forgot who she was and where she came from her body suffered cold sickness and pain eventually she died
19,0,1,scene_heading,": EXT. BOMBED CITY - DAY

","['EXT', 'BOMBED', 'CITY', 'DAY']",ext bombed city day
20,0,1,text,": CAMERA TRACKS past scenes of destruction: bombed-out
buildings... cathedrals in ruins.

","['CAMERA', 'TRACKS']",camera tracks past scenes of destruction bombed out buildings cathedrals in ruins
21,0,1,speaker_heading,": NARRATOR

",['NARRATOR'],narrator
22,0,1,dialog,": Her father, the King, always knew that
the Princess would return, perhaps in
another body, in another place, at
another time.

",[],her father the king always knew that the princess would return perhaps in another body in another place at another time
23,0,1,text,": On half-demolished walls, Falangist posters declare Franco's
triumph. Among the ruins, smaller, poignant traces of war:
shoes, broken eye-glasses...

",[],on half demolished walls falangist posters declare franco s triumph among the ruins smaller poignant traces of war shoes broken eye glasses
24,0,1,speaker_heading,": NARRATOR

",['NARRATOR'],narrator
25,0,1,dialog,": And he would wait for her, until he drew
his last breath, until the world stopped
turning...

",[],and he would wait for her until he drew his last breath until the world stopped turning
26,0,1,text,": Through the ruined buildings, a SMALL CARAVAN OF BLACK
BENTLEY CARS comes into view.
The shiny chrome fenders pass directly by CAMERA; they bear
all the Fascist insignias and flags.

","['SMALL', 'CARAVAN', 'OF', 'BLACK', 'BENTLEY', 'CARS', 'CAMERA']",through the ruined buildings a small caravan of black bentley cars comes into view the shiny chrome fenders pass directly by camera they bear all the fascist insignias and flags
27,0,2,scene_heading,": INT. MAIN CAR - SAME

","['INT', 'MAIN', 'CAR', 'SAME']",int main car same
28,0,2,text,": Looking out the window: OFELIA.
She's dressed in plain, slightly frayed clothing. Not very
dainty. On her lap is a book of fairy tales.
CAMERA studies one of the watercolors that adorn the pages:
an illustration of a little girl dancing with several
fairies flying around her.
At her side, a small pile of similar books in a book strap.

","['OFELIA', 'CAMERA']",looking out the window ofelia she s dressed in plain slightly frayed clothing not very dainty on her lap is a book of fairy tales camera studies one of the watercolors that adorn the pages an illustration of a little girl dancing with several fairies flying around her at her side a small pile of similar books in a book strap
29,0,2,speaker_heading,": CARMEN

",['CARMEN'],carmen
30,0,2,dialog,": I don't understand why you had to bring
so many books, Ofelia.

",['I'],i don t understand why you had to bring so many books ofelia
31,0,2,text,": Ofelia turns her gaze toward the opposite seat, where her
mother, CARMEN, 28, is napping, her enormous stomach
evidence of advanced pregnancy. She, too, has black hair.

",['CARMEN'],ofelia turns her gaze toward the opposite seat where her mother carmen 28 is napping her enormous stomach evidence of advanced pregnancy she too has black hair
32,0,2,speaker_heading,": CARMEN

",['CARMEN'],carmen
33,0,2,dialog,": We're going to the country... the
outdoors... plenty of fresh air.

",[],we re going to the country the outdoors plenty of fresh air
34,0,2,text,": She takes the book away from Ofelia.

",[],she takes the book away from ofelia
35,0,2,speaker_heading,": CARMEN

",['CARMEN'],carmen
36,0,2,dialog,": Fairy tales? You're too old to be filling
your head with such nonsense.

",[],fairy tales you re too old to be filling your head with such nonsense
37,0,2,text,": She pauses, feeling nausea.

",[],she pauses feeling nausea
38,0,2,speaker_heading,": CARMEN

",['CARMEN'],carmen
39,0,2,dialog,": Ask them to stop the car- please-

",[],ask them to stop the car please
